workflow_id	task_name	cpus	memory	disk	duration	cost
d527e1f8-f3e0-4a38-9cde-a76d1746924c	salmon_paired_reads	10	64GB	80GB	0.59h	$0.08
778d47c4-5433-4df7-9b67-d8a133a787be	bamToFastq	2	10GB	40GB	10.55h	$0.27
654b42d8-453a-4384-a81d-55d9cbacd95f	bamToFastq	2	10GB	40GB	29.73h	$0.76
654b42d8-453a-4384-a81d-55d9cbacd95f	salmon_paired_reads	10	64GB	80GB	0.66h	$0.09
62bd4095-c554-474c-adcf-492797ca73ed	bamToFastq	2	10GB	40GB	33.45h	$0.85
62bd4095-c554-474c-adcf-492797ca73ed	salmon_paired_reads	10	64GB	80GB	2.11h	$0.28
62bd4095-c554-474c-adcf-492797ca73ed	salmon_paired_reads	10	64GB	80GB	0.74h	$0.10
2d869ddd-b62d-4934-9efe-f51b33c50f43	bamToFastq	0	0GB	0GB	0.00h	$0.00
2d869ddd-b62d-4934-9efe-f51b33c50f43	salmon_paired_reads	0	0GB	0GB	0.00h	$0.00
634dc293-3cae-4a24-abfb-16ebadcd7bc3	bamToFastq	2	10GB	40GB	19.41h	$0.50
634dc293-3cae-4a24-abfb-16ebadcd7bc3	salmon_paired_reads	10	64GB	80GB	0.65h	$0.09
89263f37-f03e-4234-886b-bbe41c9b6417	bamToFastq	2	10GB	40GB	19.44h	$0.50
89263f37-f03e-4234-886b-bbe41c9b6417	salmon_paired_reads	10	64GB	80GB	0.87h	$0.12
a96471c8-96cd-4a0a-b7d5-3820164e5201	bamToFastq	0	0GB	0GB	0.00h	$0.00
a96471c8-96cd-4a0a-b7d5-3820164e5201	salmon_paired_reads	0	0GB	0GB	0.00h	$0.00
6b995aee-07ff-465e-b220-239940f45242	bamToFastq	2	10GB	40GB	14.96h	$0.38
f1e5518c-ae9f-49e6-ad27-75271e09b1e4	bamToFastq	0	0GB	0GB	0.00h	$0.00
f1e5518c-ae9f-49e6-ad27-75271e09b1e4	salmon_paired_reads	0	0GB	0GB	0.00h	$0.00
f78a6ce4-5261-407d-8629-ebd79fa0c160	bamToFastq	2	10GB	40GB	12.24h	$0.31
f78a6ce4-5261-407d-8629-ebd79fa0c160	salmon_paired_reads	10	64GB	80GB	0.86h	$0.12
8a4236b1-eb98-47ec-9b1c-5f0d5858f2de	bamToFastq	2	10GB	40GB	36.19h	$0.92
8a4236b1-eb98-47ec-9b1c-5f0d5858f2de	salmon_paired_reads	10	64GB	80GB	9.59h	$1.29
d1d82ad0-7022-4048-95d9-8821a488b677	bamToFastq	2	10GB	40GB	13.35h	$0.34
d1d82ad0-7022-4048-95d9-8821a488b677	salmon_paired_reads	10	64GB	80GB	1.43h	$0.19
d1d82ad0-7022-4048-95d9-8821a488b677	salmon_paired_reads	10	64GB	80GB	0.82h	$0.11
180897fe-b2b4-4b19-8286-ef95b8471f19	bamToFastq	0	0GB	0GB	0.00h	$0.00
180897fe-b2b4-4b19-8286-ef95b8471f19	salmon_paired_reads	0	0GB	0GB	0.00h	$0.00
f3129b21-c7bd-40fb-a9b5-935385444439	bamToFastq	2	10GB	40GB	13.56h	$0.35
f3129b21-c7bd-40fb-a9b5-935385444439	salmon_paired_reads	10	64GB	80GB	1.94h	$0.26
9f2c3e42-182f-4c4c-b90f-25ac8b146243	bamToFastq	2	10GB	40GB	40.63h	$1.04
9f2c3e42-182f-4c4c-b90f-25ac8b146243	salmon_paired_reads	10	64GB	80GB	3.91h	$0.53
7690b54e-0553-4be0-aa01-97408a42550a	bamToFastq	2	10GB	40GB	13.06h	$0.33
7690b54e-0553-4be0-aa01-97408a42550a	salmon_paired_reads	10	64GB	80GB	0.82h	$0.11
2ce2ba4f-7351-426d-bd15-43e13c7b9d4a	bamToFastq	2	10GB	40GB	33.88h	$0.87
2ce2ba4f-7351-426d-bd15-43e13c7b9d4a	salmon_paired_reads	10	64GB	80GB	1.17h	$0.16
15014ac8-1290-4d9c-9fc7-c4ee83480eca	bamToFastq	2	10GB	40GB	26.29h	$0.67
15014ac8-1290-4d9c-9fc7-c4ee83480eca	salmon_paired_reads	10	64GB	80GB	17.58h	$2.36
db656134-5c6f-4480-810a-4348c0d44044	bamToFastq	2	10GB	40GB	33.87h	$0.87
db656134-5c6f-4480-810a-4348c0d44044	salmon_paired_reads	10	64GB	80GB	8.54h	$1.15
e95be08c-4129-43a7-af60-7f445d7972d7	bamToFastq	0	0GB	0GB	0.00h	$0.00
e95be08c-4129-43a7-af60-7f445d7972d7	salmon_paired_reads	10	64GB	80GB	11.88h	$1.60
3d4ba835-ca40-4665-a3e6-4e24fed35a4d	bamToFastq	2	10GB	40GB	15.54h	$0.40
3d4ba835-ca40-4665-a3e6-4e24fed35a4d	salmon_paired_reads	10	64GB	80GB	1.30h	$0.17
bf186d17-1ead-4979-b695-8cba56dd08d2	bamToFastq	2	10GB	40GB	22.66h	$0.58
bf186d17-1ead-4979-b695-8cba56dd08d2	salmon_paired_reads	10	64GB	80GB	2.68h	$0.36
cc9fb1e4-ad9f-4a4f-9382-c4781feb3178	bamToFastq	2	10GB	40GB	30.50h	$0.78
cc9fb1e4-ad9f-4a4f-9382-c4781feb3178	salmon_paired_reads	10	64GB	80GB	0.63h	$0.09
e12d4b0c-210d-48e8-a054-69542bea1adf	bamToFastq	0	0GB	0GB	0.00h	$0.00
e12d4b0c-210d-48e8-a054-69542bea1adf	salmon_paired_reads	10	64GB	80GB	8.78h	$1.18
f8df61f1-c731-4640-a3c8-1cc69ff8e3ad	bamToFastq	2	10GB	40GB	29.28h	$0.75
f8df61f1-c731-4640-a3c8-1cc69ff8e3ad	salmon_paired_reads	10	64GB	80GB	1.36h	$0.18
3d4f450f-21b5-4e36-b451-b4b91c247fc7	bamToFastq	2	10GB	40GB	38.97h	$1.00
59f4a941-2aaa-447e-8adb-6cef1ad19d2a	bamToFastq	2	10GB	40GB	34.40h	$0.88
59f4a941-2aaa-447e-8adb-6cef1ad19d2a	salmon_paired_reads	10	64GB	80GB	0.73h	$0.10
5327c163-7e96-40ff-9607-c97678126569	bamToFastq	2	10GB	40GB	32.35h	$0.83
5327c163-7e96-40ff-9607-c97678126569	salmon_paired_reads	10	64GB	80GB	8.04h	$1.08
d971891f-328e-4ae7-8d07-28fd28ed9c25	bamToFastq	0	0GB	0GB	0.00h	$0.00
d971891f-328e-4ae7-8d07-28fd28ed9c25	salmon_paired_reads	0	0GB	0GB	0.00h	$0.00
45d4c331-49cb-4f2d-b92c-c55d7de60745	bamToFastq	2	10GB	40GB	11.15h	$0.28
45d4c331-49cb-4f2d-b92c-c55d7de60745	salmon_paired_reads	10	64GB	80GB	4.92h	$0.66
51bcedff-e864-48f9-bbf0-43b0f90deaae	bamToFastq	0	0GB	0GB	0.00h	$0.00
51bcedff-e864-48f9-bbf0-43b0f90deaae	salmon_paired_reads	0	0GB	0GB	0.00h	$0.00
303fdc4e-0f68-43bd-9b3f-ec155fa9476d	bamToFastq	2	10GB	40GB	6.83h	$0.17
5d92f811-277d-48cc-96b6-d53e562f0771	bamToFastq	2	10GB	40GB	37.39h	$0.96
5d92f811-277d-48cc-96b6-d53e562f0771	salmon_paired_reads	10	64GB	80GB	1.80h	$0.24
0ad1ff6b-a603-4c66-be69-5052d3260945	bamToFastq	2	10GB	40GB	23.87h	$0.61
0ad1ff6b-a603-4c66-be69-5052d3260945	salmon_paired_reads	10	64GB	80GB	0.92h	$0.12
dde3841c-eaf2-446d-9fed-8d8c250acd2c	bamToFastq	2	10GB	40GB	2.09h	$0.05
b1f0e615-de6c-448c-bb7b-de8ce3ae0e3e	bamToFastq	2	10GB	40GB	22.59h	$0.58
